ordinal	full_sha	subject	dashboard_scope	tags	attention	evidence_paths	migration_action	final_disposition
011	d24db3d553a9306e078f67b4dd7ce3f6e77cb2a4	fix(logs): remap native ClickHouse ports to HTTP for client	none	SHARED_BACKEND,ENV_BUILD_DEPLOY	0	apps/backend/logs/src/logs.config.ts	Backend-only ClickHouse port normalization; no dashboard migration action.	preserved by ancestry
012	e13878e0b0c6b039a49854cdeec107244d65e9cb	fix(dashboard): show onboarding logo from local data-URL preview	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/onboarding/step1/use-logo-upload.ts; apps/frontend/dashboard/src/features/onboarding/step1/logo-upload.tsx	Carry the React logic unchanged under a client boundary; verify FileReader data-URL preview and permanent logo URL behavior.	mechanical port
013	5b1a403119596d81f5b54841957b96ed481b2ea8	fix the inbound domain	none	SHARED_BACKEND	0	apps/backend/domain/src/model/domain.model.ts; apps/backend/domain/src/utils/dns-record-generator.ts	Backend-only; no Next migration action.	preserved by ancestry
014	5a857196e4dc7a8a0c2e3a459ef7ebb8741ebb71	fix(domain): put receiving MX on apex for correct DNS verification	none	SHARED_BACKEND,TEST_DOCS	0	apps/backend/domain/src/utils/ensure-receiving-mx.ts; apps/backend/domain/test/dns-record-generator.test.ts	Backend/workflow change remains on current main; no dashboard framework work.	preserved by ancestry
015	c3c448dac2e81972ea0429e0a24714b2e49749df	fix(domain): fix return path and tracking as server defaults	mixed	UNIVERSAL_REACT,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/domain/add/page.tsx; apps/frontend/dashboard/src/features/onboarding/step2/use-add-domain.ts; apps/backend/domain/src/model/domain.model.ts	Preserve the server-owned return-path/tracking contract and the matching read-only dashboard fields; validate create-domain and onboarding payloads end to end.	semantic parity scenario
016	3a456985588dd321ed26b999bd27bddbc1a2970b	chore: update project dependencies via pnpm install	dashboard-only	UNIVERSAL_REACT	0	apps/frontend/dashboard/src/features/domain/add/components/advanced-options.tsx; apps/frontend/dashboard/src/features/onboarding/step2/advanced-options.tsx	Portable React/UI change; carry forward as-is.	preserved by ancestry
017	3e6c146903b40d7913310e3f5becd30f66494216	fix(dashboard): keep data-URL logo/avatar preview after upload	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/settings/profile/account-profile-picture.tsx; apps/frontend/dashboard/src/features/settings/workspace/workspace-logo-upload.tsx	Keep under client boundaries and verify local data-URL previews continue winning during upload.	mechanical port
018	77f77238807d660ec1fa37619268603ce27172eb	fix(dashboard): force absolute URLs for logo and avatar images	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND	2	apps/frontend/dashboard/src/utils/absolute-url.ts; apps/frontend/dashboard/src/features/settings/workspace/workspace-logo-upload.tsx; apps/backend/upload/src/routes/upload/upload-file/upload-file.controllers.ts	Preserve both backend absolute URL generation and frontend normalization; validate data, blob, protocol-relative, and scheme-less image URLs.	semantic parity scenario
019	0cacafe18a8d346b6caa111fa96b15b0621ec368	fix(dashboard): clear React Query cache on logout	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT,TEST_DOCS	2	apps/frontend/dashboard/src/features/auth/session-query.ts; apps/frontend/dashboard/src/features/auth/session-query.test.ts; apps/frontend/dashboard/src/features/dashboard/page-header/user-dropdown.tsx	Keep cache clearing and sign-out ordering, replace the TanStack navigation callback with Next navigation, and update the characterization tests to the new adapter contract.	semantic parity scenario
020	d32f12ce1add8f19f37e1bb5ca02e65533a2ede9	feat(dashboard): restore OTP magic-link verify page	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR	3	apps/frontend/dashboard/src/features/auth/verify/auto-login-page.tsx; apps/frontend/dashboard/src/routes/verify.tsx	Create the Next /verify page, keep OTP and email query values as strings, retain invite propagation and post-auth cache refresh, and port metadata.	blocking migration requirement
021	e2e988f865e0fee9aa19cec41db64aaa78581206	fix(links): proxy open-tracking pixels on custom tracking domains	none	SHARED_BACKEND,ROUTER_LAYOUT,TEST_DOCS	0	apps/frontend/links/src/app/api/mail/v1/track/open/[token]/route.ts	Links-app-only route; no dashboard migration action.	preserved by ancestry
022	142c84ae4e24d9993092b489f0f9a821e3737564	chore: add project dependencies in node_modules	none	ENV_BUILD_DEPLOY	0	.github/workflows/fe-links.yml	Links deployment only; no dashboard migration action.	preserved by ancestry
023	25e44f21aaf5b2807de6907f58fabd346a429b44	fix(dashboard): polish agent inbox list UI and onboarding exit redirect	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT	2	apps/frontend/dashboard/src/features/agent-inbox/components/agent-mailbox-list.tsx; apps/frontend/dashboard/src/features/onboarding/step1/use-create-org.ts; apps/frontend/dashboard/src/utils/post-auth-destination.ts	Preserve mailbox q/status/page/limit URL state and forced organization refetches; adapt navigation calls and test the onboarding-to-home transition.	semantic parity scenario
024	5416d0cf9ac622c300cecc6d0be68595f4961871	fix sidebar animation	mixed	UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/dashboard/sidebar/main-sidebar.tsx	Replace pathname access with usePathname and retain reduced-motion sidebar transitions.	mechanical port
025	3ac0a737b2f6166d30e8845675f9f54b085858de	style(agent-inbox): align details page and sidebar styling, hover animations, and counts	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/agent-inbox/components/inbox-sidebar.tsx; apps/frontend/dashboard/src/features/agent-inbox/hooks/use-inbox-folder-stats.ts	Port inbox links and dynamic label destinations to Next, retain DOM-measured hover state, and verify active folder/count behavior.	semantic parity scenario
026	308bef7ba38872da876d4f1abe39d87706ad9d8a	ui improvements	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT	1	apps/frontend/dashboard/src/features/agent-inbox/components/mailbox-rail.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/inbox-nav-user.tsx	Carry the React restructure forward and mechanically replace mailbox Link/useNavigate calls with the Next navigation helper.	mechanical port
027	2175d98639769efc4d6212d9762df861e43b367d	feat(inbox): support label colors and optimize sidebar hover animations	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/agent-inbox/components/inbox-label-dialog.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/inbox-sidebar.tsx; apps/frontend/dashboard/src/features/agent-inbox/lib/label-colors.ts	Preserve label color persistence, navigation, radiogroup behavior, and DOM-rect hover animation under a client boundary.	semantic parity scenario
028	91475ff31ad05e5a08939b2fa6046fe8ccb51897	feat(agent-inbox): refine composer modal layout, align From field, add AI Sparkles trigger, remove templates/AI draft buttons, and adjust footer layout	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/agent-inbox/components/compose-modal.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/inbox-label-dialog.tsx	Move module-scope navigator/platform detection behind hydration-stable client logic; otherwise retain composer and label UI.	semantic parity scenario
029	4fb4b415ef25df6348c922d902e09dcbf66d443e	feat(agent-inbox): polish compose modal and preview transition animations with Framer Motion	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/agent-inbox/components/compose-modal.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/compose/ai-compose-preview.tsx	Portable motion/UI work; ensure it stays below a client boundary and respects reduced motion.	mechanical port
030	0863231748e314de9f62381d94d21566a0662bb6	feat(inbox): optimize recipient pills animation layout and show full email	mixed	UNIVERSAL_REACT,CLIENT_SSR,TEST_DOCS	1	apps/frontend/dashboard/src/features/agent-inbox/components/email-pills-input.tsx; plans/001-snappy-recipient-pills-layout.md	Carry the layout optimization forward under the existing client boundary and visually verify recipient overflow/measurement.	mechanical port
031	f866763c5bb01e151fc1369f0c6648a22138e19a	feat(inbox): integrate ComposeBodyEditor and clean up unused slash command files	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/agent-inbox/components/compose/compose-body-editor.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/email-pills-input.tsx	Keep the current editor integration; isolate Tiptap/portal/document behavior to client-only modules and test compose, reply, forward, resize, and scroll positioning.	semantic parity scenario
032	846e3d64ae9fb0c4319db2f4ebb7fd7be5d7be47	feat(inbox): implement Undo Send delay queue and toast countdown UI	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND	2	apps/frontend/dashboard/src/features/agent-inbox/components/compose/undo-send-toast.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/agent-inbox-provider.tsx; apps/backend/inbox/src/cron/pending-outbound.cron.ts	Preserve the shared delayed-send protocol plus timers/localStorage; test send, countdown, cancel, retry, reload, and final sent-state reconciliation.	semantic parity scenario
033	9a0f8b40ee775373f141f8c1b6a12ae0bdbc43ca	improvements	mixed	UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR,SHARED_BACKEND	3	apps/frontend/dashboard/src/features/dashboard/dashboard-shell.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/inbox-command-palette.tsx; packages/db/src/schema/compose.ts	Express shell exclusions structurally with Next route groups, port command-palette navigation/search state, and retain the matching backend compose state.	blocking migration requirement
034	0e0d286864ac53d62a9f6a8e9e6d42ec5996cedd	refactor(inbox): replace virtua with react-virtuoso and enhance bulk selection UI	mixed	UNIVERSAL_REACT,CLIENT_SSR,ENV_BUILD_DEPLOY	2	apps/frontend/dashboard/src/features/agent-inbox/components/thread-list.tsx; apps/frontend/dashboard/package.json	Keep react-virtuoso and remove only the obsolete virtualizer; verify SSR/hydration, pagination, bulk selection, and long-list scrolling.	semantic parity scenario
035	6f0ed65b9439d4b096c66201c95cd49febc9ef4e	refactor(inbox): restructure thread detail component structure and refine message action flows	mixed	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/reply-composer.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/contact-hover-card.tsx	Move module-scope navigator access to hydration-stable client state and validate timers, clipboard, hover popovers, reply modes, printing, and message actions.	semantic parity scenario
036	715c5e37f3a285bb95f08dd584835d82f8e56107	feat(inbox): introduce ImagePrivacyBanner in message body	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/message-body.tsx	Portable client UI; preserve image privacy toggling and sanitized message rendering.	mechanical port
037	b2110f7271cfa8704a65715854d2644012eaea36	feat(inbox): implement inline reply composer anchoring and draft actions feedback	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	2	apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/reply-composer.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/thread-detail.tsx	Retain inline/docked composer anchoring, focus timers, draft-action feedback, and close animations; validate keyboard-triggered reply paths.	semantic parity scenario
038	6c372d7afd9fda6fe0557ec8351f5136631ed820	refactor(compare): reorganize comparison components and enhance UI for Reloop vs Resend page	mixed	UNIVERSAL_REACT,TEST_DOCS	0	apps/frontend/dashboard/src/features/settings/billing/plans-page.tsx; apps/frontend/web/src/app/compare/components/comparison-matrix.tsx	Dashboard portion is portable sticky-header styling; retain as-is while leaving unrelated web changes untouched.	preserved by ancestry
039	5b5f647f79e09600c5cc764fee062c521fded506	feat(inbox): refine composer styles and update mailbox rail UI	dashboard-only	UNIVERSAL_REACT,CLIENT_SSR	1	apps/frontend/dashboard/src/features/agent-inbox/components/mailbox-rail.tsx; apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/reply-composer.tsx	Portable UI refinement; retain under the inbox client boundary and ignore generated route-tree noise.	mechanical port
040	efe8df911dbad02647d8f3177577f7137377e5e4	style(inbox): use Tailwind v4 CSS variable utility syntax for You badges	dashboard-only	UNIVERSAL_REACT	0	apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/contact-hover-card.tsx	Pure styling syntax update; carry forward as-is.	preserved by ancestry
041	2e8c24ca4b0137f306a202fd503b30c454f10d26	style(inbox): refine DetailsRow layout and alignment in zero-mail-display popover	dashboard-only	UNIVERSAL_REACT	0	apps/frontend/dashboard/src/features/agent-inbox/components/thread-detail/zero-mail-display.tsx	Pure layout/style update; carry forward as-is.	preserved by ancestry
042	b3ca527702948027a83bb236d9ea3f2182b08eb4	style(inbox): remove command palette icon background, reduce gap, and adjust footer logo	dashboard-only	UNIVERSAL_REACT	0	apps/frontend/dashboard/src/features/agent-inbox/components/inbox-command-palette.tsx	Pure command-palette styling update; carry forward as-is.	preserved by ancestry
043	c186b5f6176af3c01b45675c0de290def05e5a24	feat(inbox): support compose draft kinds, restructure agent inbox components, and clean up layouts	mixed	UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR,SHARED_BACKEND,TEST_DOCS	3	apps/frontend/dashboard/src/features/agent-inbox/pages/mailbox-layout.tsx; apps/frontend/dashboard/src/router.tsx; apps/frontend/dashboard/src/features/agent-inbox/hooks/use-draft-autosave.ts; packages/db/migrations/0001_compose_draft_kind.sql	Recreate inbox provider/layout/not-found lifetimes with nested Next layouts, port draft URL state and navigation, preserve autosave timers, and keep the backend/schema draft-kind contract and tests.	blocking migration requirement
044	9745be4ffc8fdd0d86a2385ffa74153212333014	feat(local): add one-command bun setup for local development	none	ENV_BUILD_DEPLOY,SHARED_BACKEND,TEST_DOCS	0	local/bootstrap.sh; package.json; apps/frontend/docs/content/docs/setup/index.mdx	Repository setup work remains on current main; ensure the restored Next dashboard still participates in the existing root dev/start scripts.	preserved by ancestry
045	d859dedc16ddc7d31d95885d6000bd535d3d1f32	refactor: standardize documentation format and navigation across all setup guides	none	TEST_DOCS	0	apps/frontend/docs/content/docs/setup/backend/auth.mdx; apps/frontend/docs/content/docs/setup/frontend/dashboard.mdx	Docs-only; no code migration action, but update dashboard framework wording in the final documentation pass.	preserved by ancestry
046	282ca361f9eb281c08f8a143c6a7fd07f0c8e641	refactor: update documentation sidebar UI with updated aesthetics, layout refinements, and added section metadata.	none	UNIVERSAL_REACT,TEST_DOCS	0	apps/frontend/docs/src/components/docs/sidebar.tsx; apps/frontend/docs/src/app/global.css	Docs-app-only UI; no dashboard migration action.	preserved by ancestry
047	e7446f61698eebf51491ee2fe6310954399f0af4	feat: add shapes icon to sprite and icon names registry	none	UNIVERSAL_REACT,SHARED_BACKEND	0	packages/ui/src/components/icons-sprite.tsx; apps/frontend/docs/src/lib/reloop-icon-names.ts	Shared icon addition is framework-neutral; retain it in the current shared package.	preserved by ancestry
048	5e5088bee74b44e61c5b8b65644f3c96572b61c2	feat: instrument domain verification worker with job logs and structured error reporting	none	SHARED_BACKEND	0	apps/backend/workflow/src/handlers/domain-verification.handler.ts; apps/backend/workflow/src/queues/workflow.worker.ts	Backend-only; no dashboard migration action.	preserved by ancestry
049	8e5b2ada37a433b9eabf2ff4762f2767c1468714	refactor: unify workflow job failure handling and logging with shared `WorkflowJob` helpers	none	SHARED_BACKEND,TEST_DOCS	0	apps/backend/workflow/src/queues/workflow.worker.ts; apps/backend/workflow/README.md	Backend-only workflow error handling; no dashboard migration action.	preserved by ancestry
050	f2d657b3163b1deac98b2b8109a96143652eb884	feat: add workflow job utilities and failure handling logic for BullMQ jobs	none	SHARED_BACKEND	0	apps/backend/workflow/src/queues/workflow-job.ts	Backend-only utility; no dashboard migration action.	preserved by ancestry
051	61a91aa955247e6b9ec6ba6b361651ec4357ce00	feat: fetch domain owner from database to send verification email to user instead of admin	none	SHARED_BACKEND	0	apps/backend/email/src/subscribers/domain.subscriber.ts	Backend-only notification recipient correction; no dashboard migration action.	preserved by ancestry
052	ded687b0140a72bce705a7ab3b0d10a894a9e76f	refactor: update SDK code samples to use standardized property names and naming conventions	mixed	UNIVERSAL_REACT,SHARED_BACKEND,TEST_DOCS	0	apps/frontend/dashboard/src/components/api-details/contacts-code-examples.ts; apps/backend/contacts/src/routes/contact/update-contact/update-contact.x-codeSamples.ts	Dashboard code-sample data is portable; keep it synchronized with backend/docs sources.	preserved by ancestry
053	8db2ee22f2d177ba4488050f8be09596d40bba77	refactor: replace comparison tabs with a new matrix component and redesign the Resend infrastructure diagram	none	UNIVERSAL_REACT,TEST_DOCS	0	apps/frontend/web/src/app/compare/components/comparison-matrix.tsx; apps/frontend/docs/src/lib/watcher-trigger.ts	Outside dashboard; no migration action.	preserved by ancestry
054	b62945025fc9a3a39709ddbb38ecc1206e9fc4c1	feat: implement authSession middleware, update domain API documentation, and sync SDK code samples	none	TEST_DOCS	0	apps/frontend/docs/src/lib/watcher-trigger.ts	Generated docs trigger only; no migration action.	preserved by ancestry
055	0a6fff307850203af6b6fdf96cc4c963f690b55e	feat: implement authSession middleware, update domain API documentation, and sync SDK code samples	mixed	UNIVERSAL_REACT,SHARED_BACKEND,TEST_DOCS	0	apps/frontend/dashboard/src/components/api-details/domain-code-examples.ts; packages/auth/src/middleware/plugin/create-auth-plugin.ts; packages/auth/test/middleware.plugin.test.ts	Keep dashboard samples and shared authSession middleware/tests exactly as current; no framework translation is required for those changes.	preserved by ancestry
056	3e96e0f2f4d1d9d0923ec223b6a993b55085c122	refactor: standardize global scrollbar styles with custom inset thin scrollbars and simplified utility classes	mixed	UNIVERSAL_REACT,SHARED_BACKEND,TEST_DOCS	0	apps/frontend/dashboard/src/features/dashboard/sidebar/main-sidebar.tsx; packages/tailwind/style.css	Shared scrollbar/style change is portable; retain current classes and shared CSS.	preserved by ancestry
057	1ec587d8c82688ebc9d91a0a03ec3f69ce31bde2	refactor: replace code-hike/lighter with custom syntax highlighting logic and standardize X-CodeSamples usage across API routes.	mixed	UNIVERSAL_REACT,CLIENT_SSR,SHARED_BACKEND,TEST_DOCS	2	apps/frontend/dashboard/src/features/onboarding/step4/bright-code.tsx; packages/ui/src/components/code-block.tsx; apps/frontend/dashboard/package.json	Retain the shared client CodeBlock and Bright dependency placement; verify theme hydration, async highlighting, line numbers, and dashboard onboarding/SMTP rendering in Next.	semantic parity scenario
058	1afcd7131b5aa0c33c22af9637561b720637f72c	refactor: update Go SDK import path and standardize snippet code across all languages	dashboard-only	UNIVERSAL_REACT	0	apps/frontend/dashboard/src/features/onboarding/step4/snippets.ts	Portable code-sample strings; carry forward as-is.	preserved by ancestry
059	de8eb23e6d39e1965d53e65594cf3a6b6f00edd5	refactor: update SDK sample signatures to include mail and standardize return variable naming across documentation and code samples	mixed	UNIVERSAL_REACT,SHARED_BACKEND,TEST_DOCS,ENV_BUILD_DEPLOY	0	apps/frontend/dashboard/src/features/onboarding/step4/snippets.ts; .github/workflows/sdk-samples-sync.yml	Preserve synchronized SDK samples and workflow; no framework-specific translation.	preserved by ancestry
060	f769765881e4bd088946cb620cd7db679c517d06	feat: generate and sync API code samples for all inbox mailbox, message, and thread routes	none	SHARED_BACKEND,TEST_DOCS	0	apps/backend/inbox/src/routes/messages/send-message/send-message.x-codeSamples.ts; apps/frontend/docs/scripts/sync-code-samples-from-source.ts	Backend/docs sample generation only; no dashboard migration action.	preserved by ancestry
061	edbd14408f3ec736214b26a0f653f33df5ea6302	feat: migrate Rspamd to a dedicated backend service with custom Dockerfile and CI workflow	none	SHARED_BACKEND,ENV_BUILD_DEPLOY,TEST_DOCS	0	apps/backend/spam/Dockerfile; .github/workflows/be-spam.yml; local/docker-compose.yml	Independent backend service/deploy change; no dashboard migration action.	preserved by ancestry
062	56b5c3a69dc90172e6f7929bcc8facf85f9c61df	feat: configure Rspamd Redis via environment variables and add Coolify deployment trigger to CI	none	SHARED_BACKEND,ENV_BUILD_DEPLOY,TEST_DOCS	0	apps/backend/spam/local.d/redis.conf; .github/workflows/be-spam.yml	Independent spam-service environment/deployment change; no dashboard migration action.	preserved by ancestry
063	5227a8f3e26b0f4855dba0dc7b6b57aad69ba442	chore: add be-spam workspace, upgrade drizzle-kit, and replace esbuild-register with tsx	none	SHARED_BACKEND,ENV_BUILD_DEPLOY	0	package.json; packages/db/migrations/meta/_journal.json	Root tooling/dependency update remains on current main; preserve the current lock/catalog while changing dashboard framework packages.	preserved by ancestry
064	d7da406218e074f6ec6a55bbabf8f06a7d83d96f	refactor: integrate DNSRecordsSection into setup page and add optional configuration for banner visibility	dashboard-only	UNIVERSAL_REACT	0	apps/frontend/dashboard/src/features/domain/add/setup/page.tsx; apps/frontend/dashboard/src/features/domain/detail/components/dns-records-section.tsx	Portable component composition; retain the shared DNSRecordsSection and banner visibility options.	preserved by ancestry
065	6498086413a67f1a32f2eb848dee12c1c861dad1	refactor: update DNS auto-connect banner components to use new hooks and improve loading state handling	mixed	STALE_NEXT,UNIVERSAL_REACT,CLIENT_SSR,TEST_DOCS	3	apps/frontend/dashboard/src/app/(protected)/(layout)/domain/[domainId]/components/dns-auto-connect-banner.tsx; apps/frontend/dashboard/src/features/domain/detail/hooks/use-domain-connect.ts; apps/frontend/dashboard/src/features/onboarding/step3/dns-auto-connect-banner.tsx	Treat current src/features implementations as authoritative; compare the stale Next file for unique behavior, then port live Domain Connect actions/loading and correct credentials/endpoints into the new route.	blocking migration requirement
066	6a9eeabf6e8a4e0746acdb8731dd916d802900a0	feat: implement admin global search and user management features with new UI components for metrics, status, and navigation	mixed	UNIVERSAL_REACT,SHARED_BACKEND	0	apps/backend/admin/src/routes/admin/search/search.route.ts; apps/frontend/console/src/app/(protected)/(layout)/users/[userId]/page.tsx	Admin backend/console work is outside the dashboard; retain unchanged.	preserved by ancestry
067	bcbaba98089f9f9128e6f614c7e81b1562e837c7	chore: update API code samples to Python SDK v2 across all backend routes and frontend documentation	mixed	UNIVERSAL_REACT,SHARED_BACKEND,TEST_DOCS	0	apps/frontend/dashboard/src/components/api-details/api-keys-code-examples.ts; apps/frontend/dashboard/src/features/onboarding/step4/snippets.ts	Portable code-sample data; preserve the current Python SDK v2 samples and sync outputs.	preserved by ancestry
068	421af5ff505b0c54d8abddced28357e496984a1a	docs(setup): remove database schema section and docs	none	TEST_DOCS	0	apps/frontend/docs/content/docs/setup/database-schema/auth.mdx	Docs deletion only; no dashboard migration action.	preserved by ancestry
069	fbb2f6cbe6a0b5fc1dbfde18dff4ad37746d151a	Add Java/PHP SDK v2 sample sync and refresh docs. (#81)	mixed	UNIVERSAL_REACT,SHARED_BACKEND,TEST_DOCS,ENV_BUILD_DEPLOY	0	apps/frontend/dashboard/src/components/api-details/api-keys-code-examples.ts; package.json	Portable sample/catalog change; preserve current Java/PHP SDK v2 samples and dependency catalog.	preserved by ancestry
070	6d8b7654cd05769c8ceedd388f8459ebf52361cc	Updated the docs for api-keys	none	TEST_DOCS	0	apps/frontend/docs/content/docs/learn/api-keys/index.mdx	Docs-only; no dashboard migration action.	preserved by ancestry
071	3efb90eaf447d5288ebce1d17cb15e24cd5d870e	refactor: enhance contact listing and status update functionality	mixed	UNIVERSAL_REACT,SHARED_BACKEND,TEST_DOCS	2	apps/frontend/dashboard/src/features/contacts/hooks/use-contacts-query.ts; apps/frontend/dashboard/src/features/contacts/components/contacts/contact-dropdown.tsx; apps/backend/contacts/src/routes/contact/list-contacts/list-contacts.controllers.ts	Keep stable backend ordering and in-place React Query cache updates; mechanically port navigation and test filtered/unfiltered status changes without row reordering.	semantic parity scenario
072	c25e5d8c0c35ed530b3be115c877eb449360e841	docs: enhance contact management documentation with FAQs and improved descriptions	none	TEST_DOCS	0	apps/frontend/docs/content/docs/learn/contacts/index.mdx; apps/frontend/docs/src/app/[[...slug]]/page.tsx	Docs-only; no dashboard migration action.	preserved by ancestry
073	c104005d66a8437ee2afac86d0c344c29ac4bbac	Performanse improvement in the dashboard for the initial load	dashboard-only	UNIVERSAL_REACT,ROUTER_LAYOUT,CLIENT_SSR,ENV_BUILD_DEPLOY	3	apps/frontend/dashboard/src/routes/_dashboard.tsx; apps/frontend/dashboard/src/features/auth/session-query.ts; apps/frontend/dashboard/src/features/dashboard/page-header/use-active-organization.ts; apps/frontend/dashboard/server/plugins/tsd-basepath.ts	Port the browser-only auth guard and persistent organization provider into Next layouts, retain skeleton/lazy-loading/query-limit optimizations, and delete rather than translate the Vite devtools plugin.	blocking migration requirement
